gram_lexicon_id	type_id	gram	domain	identifier	descrip	lang_code
1	0	ACC	case	ACC	AccusativeCase	
2	0	NOM	case	NOM	NominativeCase	
3	0	DAT	case	DAT	DativeCase	
4	0	LOC	case	LOC	SpatialCase	
5	0	GEN	case	GEN	GenitiveCase	
6	0	ERG	case	ERG	ErgativeCase	
7	0	ABS	case	ABS	AbsolutiveCase	
8	0	SG	number	SG	Singular	
9	0	SING	number	SING	Singular	
10	0	PL	number	PL	Plural	
11	0	DUAL	number	DUAL	Dual	
12	0	M	gender	M	Masculine	
13	0	MASC	gender	MASC	Masculine	
14	0	F	gender	F	Feminine	
15	0	FEM	gender	FEM	Feminine	
16	-1	NOM	pos	NOM	Nominalizer	DUU
17	0	PAST	tense	PAST	PastTense	
18	0	PST	tense	PST	PastTense	
19	0	FUT	tense	FUT	FutureTense	
20	0	PRES	tense	PRES	PresentTense	
21	0	1SG	number	SG	Singular	
22	0	1PL	number	PL	Plural	
23	0	2SG	number	SG	Singular	
24	0	2PL	number	PL	Plural	
25	0	3SG	number	SG	Singular	
26	0	3PL	number	PL	Plural	
27	0	1SG	person	1	FirstPerson	
28	0	1PL	person	1	FirstPerson	
29	0	2SG	person	2	SecondPerson	
30	0	2PL	person	2	SecondPerson	
31	0	3SG	person	3	ThirdPerson	
32	0	3PL	person	3	ThirdPerson	
33	-1	CAUS	voice	CAUS	CausativeVoice	XXX
34	-1	PASSIVE	voice	PASSIVE	PassiveVoice	XXX
35	-1	REFL	voice	REFL	Reflexive	XXX
36	-1	APPL	voice	APPL	ApplicativeVoice	XXX
37	-1	EMPH	voice	EMPH	EmphaticVoice	XXX
38	0	PERF	aspect	PERF	PerfectiveAspect	
39	0	PFV	aspect	PFV	PerfectiveAspect	
40	0	IMPF	aspect	IMPF	ImperfectiveAspect	
41	0	PROG	aspect	PROG	ProgressiveAspect	
42	0	DUR	aspect	DUR	ProgressiveAspect	
43	0	AOR	aspect	AOR	PerfectiveAspect	
44	0	INSTR	case	INSTR	InstrumentalCase	
45	-1	POSS	case	POSS	PossesiveCase	XXX
46	0	NEUT	gender	NEUT	Neuter	
47	-1	PERF	tense	PERF	RelativePastTense	SPN
48	-1	IMPF	tense	IMPF	SimplePastTense	SPN
49	-1	PRET	tense	PRET	SimplePastTense	SPN
50	-1	PERF	tense	PERF	RelativePastTense	FRN
51	-1	IMPF	tense	IMPF	SimplePastTense	FRN
52	0	CL	clitic	CL	Clitic	
53	-1	CL	classifier	CL	Classifier	JPN
54	-1	Clasf	classifier	Clasf	Classifier	KKN
55	-1	CL	classifier	CL	Classifier	KKN
56	-1	CL	classifier	CL	Classifier	ITZ
57	-1	CL	classifier	CL	Classifier	CHN
58	-1	CL	classifier	CL	Classifier	BNG
59	-1	CL	classifier	CL	Classifier	YUH
60	-1	I	classifier	I	Classifier	HUA
61	-1	II	classifier	II	Classifier	HUA
62	-1	III	classifier	III	Classifier	HUA
63	-1	IV	classifier	IV	Classifier	HUA
64	-1	I	classifier	I	Classifier	DDO
65	-1	II	classifier	II	Classifier	DDO
66	-1	III	classifier	III	Classifier	DDO
67	-1	IV	classifier	IV	Classifier	DDO
68	-1	II	pos	TI	Verb	MAC
69	-1	TI	pos	TI	Verb	MAC
70	-1	2SGM	person	2	SecondPerson	ABV
71	-1	2SGM	number	SG	Singular	ABV
72	-1	2SGM	gender	M	Masculine	ABV
73	-1	FEMSG	number	SG	Singular	ABV
74	-1	FEMSG	gender	FEM	Feminine	ABV
75	-1	PRS	tense	PRS	PresentTense	ADY
76	-1	REMOTE	tense	REMOTE	RemotePastTense	AMI
77	-1	TODAY	tense	TODAY	HodiernalPastTense	AMI
78	-1	1ABS	person	1	FirstPerson	ARB
79	-1	1ABS	case	ABS	AbsolutiveCase	ARB
80	-1	1DAT	person	1	FirstPerson	BSQ
81	-1	1DAT	case	DAT	DativeCase	BSQ
82	-1	1ERG	person	1	FirstPerson	BSQ
83	-1	1ERG	case	ERG	ErgativeCase	BSQ
84	-1	3ERG	person	3	ThirdPerson	BSQ
85	-1	3ERG	case	ERG	ErgativeCase	BSQ
86	-1	3NOM	person	3	ThirdPerson	BSQ
87	-1	3NOM	case	NOM	NominativeCase	BSQ
88	-1	3plDAT	person	3	ThirdPerson	BSQ
89	-1	3plDAT	number	pl	Plural	BSQ
90	-1	3plDAT	case	DAT	DativeCase	BSQ
91	-1	1sgOBJ	person	1	FirstPerson	CKT
92	-1	1sgOBJ	objectproperty	OBJ	DirectObject	CKT
93	-1	1sgOBJ	number	sg	Singular	CKT
94	-1	1sgSUBJ	person	1	FirstPerson	CKT
95	-1	1sgSUBJ	objectproperty	SUBJ	Subject	CKT
96	-1	1sgSUBJ	number	sg	Singular	CKT
97	-1	NOM	pos	NOM	Nominalizer	CNG
98	-1	obv	person	obv	ObviativePerson	CRL
99	-1	prox	person	prox	ProximatePerson	CRL
100	-1	NFUT	tense	NFUT	NonFutureTense	DBL
101	-1	NOFUT	tense	NOFUT	NonFutureTense	DBL
102	-1	POSREF	voice	REF	Reflexive	DNS
103	-1	POSREF	case	POSS	PossesiveCase	DNS
104	-1	POSSREFL	voice	REFL	Reflexive	DNS
105	-1	POSSREFL	case	POSS	PossesiveCase	DNS
106	-1	NOM	pos	NOM	Nominalizer	EDO
107	-1	PRES	tense	PRES	PresentTense	FIN
108	-1	COMIT	case	COMIT	ComitativeCase	GCD
109	-1	3FUT	tense	FUT	FutureTense	GEO
110	-1	3FUT	person	3	ThirdPerson	GEO
111	-1	3PRES	tense	PRES	PresentTense	GEO
112	-1	3PRES	person	3	ThirdPerson	GEO
113	-1	PRES	tense	PRES	PresentTense	HBR
114	-1	DETpl	pos	DET	Determiner	IJO
115	-1	DETpl	number	pl	Plural	IJO
116	-1	1OBJ	person	1	FirstPerson	JIG
117	-1	1OBJ	objectproperty	OBJ	DirectObject	JIG
118	-1	1sgGEN	person	1	FirstPerson	JIG
119	-1	1sgGEN	number	sg	Singular	JIG
120	-1	1sgGEN	case	GEN	GenitiveCase	JIG
121	-1	2sgSubj	person	2	SecondPerson	JIG
122	-1	2sgSubj	objectproperty	Subj	Subject	JIG
123	-1	2sgSubj	number	sg	Singular	JIG
124	-1	1sgPAST	tense	PAST	PastTense	KJS
125	-1	1sgPAST	person	1	FirstPerson	KJS
126	-1	1sgPAST	number	sg	Singular	KJS
127	-1	1sgPRES	tense	PRES	PresentTense	KJS
128	-1	1sgPRES	person	1	FirstPerson	KJS
129	-1	1sgPRES	number	sg	Singular	KJS
