domain	local_name	gold_concept
case	ACC	AccusativeCase
case	NOM	NominativeCase
case	DAT	DativeCase
case	LOC	LocativeCase
case	GEN	GenitiveCase
case	ERG	ErgativeCase
case	ABS	AbsolutiveCase
number	SG	SingularNumber
number	SG	SingularNumber
number	SING	SingularNumber
number	PL	PluralNumber
number	DUAL	DualNumber
classifier	M	MasculineGender
classifier	MASC	MasculineGender
classifier	F	FeminineGender
classifier	FEM	FeminineGender
classifier	CL	Classifier
classifier	II	Classifier
classifier	III	Classifier
classifier	IV	Classifier
tense	PAST	PastTense
tense	PST	PastTense
tense	FUT	FutureTense
tense	PRES	PresentTense
number	1SG	SingularNumber
number	1PL	PluralNumber
number	2SG	SingularNumber
number	2PL	PluralNumber
number	3SG	SingularNumber
number	3PL	PluralNumber
person	1SG	FirstPerson
person	1PL	FirstPerson
person	2SG	SecondPerson
person	2PL	SecondPerson
person	3SG	ThirdPerson
person	3PL	ThirdPerson
voice	CAUS	CausativeVoice
voice	PASS	PassivieVoice
voice	REFL	ReflexiveVoice
voice	APPL	ApplicativeVoice
voice	EMPH	EmphaticVoice
aspect	PERF	PerfectiveAspect
aspect	PFV	PerfectiveAspect
aspect	IMPF	ImperfectiveAspect
aspect	PROG	ProgressiveAspect
aspect	DUR	DurativeAspect
aspect	AOR	PerfectiveAspect
case	INSTR	InstrumentalCase
case	POSS	PossesiveCase
classifier	NEUT	NeuterGender
